question_id,query,expected_answer,expected_source,technique,rank,store_score,cosine_sim,chunk_len,source_file,retrieval_latency_ms,preview
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Semantic,4,0.3752,0.3119,7037,RIR2613.pdf,8.91,"Figure 1: Trolley 111 postaccident (left) and passenger compartment of Trolley 111 (right).   Trolley 111, a single light rail vehicle, was traveling about 38 m..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Semantic,5,0.2852,0.312,6748,RIR2613.pdf,8.91,AC means alternating current; DC means direct current.  9 A catenary maintenance car is a specialized rail-bound vehicle used to inspect and repair overhead  ca...
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Sentence-Window,1,0.6329,0.6358,280,RIR2613.pdf,9.18,"For over a year before the accident, SEPTA’s vehicle maintenance department  had been tracking an uptick in incidents on the D Line involving trolley pantograph..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Sentence-Window,2,0.6313,0.6359,281,RIR2613.pdf,9.18,"SEPTA’s maintenance records showed that on 47  occasions in the 14 months preceding the accident, a trolley experienced pantograph  damage that required it to b..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Sentence-Window,3,0.6164,0.5448,226,RIR2613.pdf,9.18,"Because these small incidents did not result in  significant negative consequences, employees came to accept both missed aerial  inspections and regular inciden..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Sentence-Window,4,0.5799,0.5793,320,RIR2613.pdf,9.18,"During the year before the accident, this increase of pantograph  incidents became normalized and, therefore, did not raise sufficient concerns within the    10..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Sentence-Window,5,0.5701,0.6042,241,RIR2613.pdf,9.18,"By 2024, vehicle maintenance records showed  that SEPTA was experiencing incidents in which trolley pantographs were damaged  during service about four times as..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Token,1,0.7015,0.7124,1189,RIR2613.pdf,9.86,"written OCS inspection and  maintenance program, its missed monthly aerial inspections were not identified by  SEPTA’s management as inducing increased risk and..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Token,2,0.6882,0.7073,1135,RIR2613.pdf,9.86,The actions taken by  SEPTA in response to the audit findings did not address their root causes or the lack of a  formal OCS inspection and maintenance program....
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Token,3,0.6739,0.6779,1167,RIR2613.pdf,9.86,"Plan that details the agency’s safety policies, objectives, and responsibilities  utilizing an active safety management system framework.   Railroad Investigati..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Token,4,0.6635,0.6705,1137,RIR2613.pdf,9.86,"at the location, interrupting power to the contact wire and de-energizing the OCS  in the vicinity.   After the accident, SEPTA halted passenger service on the..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Token,5,0.6432,0.6382,1180,RIR2613.pdf,9.86,"new OCS program and active, ongoing  field oversight of OCS related activities. SEPTA’s new formal OCS inspection and  maintenance program was approved by PennD..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Semantic,1,0.6453,0.6487,8563,RIR2613.pdf,8.36,Railroad Investigation Report  RIR-26-13  8    traction power maintenance department. Employees became accustomed to frequent  incidents of pantograph damage an...
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Semantic,2,0.5977,0.6207,6748,RIR2613.pdf,8.36,AC means alternating current; DC means direct current.  9 A catenary maintenance car is a specialized rail-bound vehicle used to inspect and repair overhead  ca...
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Semantic,3,0.5381,0.5202,1108,RIR2613.pdf,8.36,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Semantic,4,0.485,0.4838,993,RIR2613.pdf,8.36,The trolley operator and three passengers requested  transport to a hospital for minor injuries. SEPTA estimated damages to be about  1 (a) Visit ntsb.gov to fi...
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Semantic,5,0.3166,0.3124,7037,RIR2613.pdf,8.36,"Figure 1: Trolley 111 postaccident (left) and passenger compartment of Trolley 111 (right).   Trolley 111, a single light rail vehicle, was traveling about 38 m..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Sentence-Window,1,0.6764,0.6621,287,RIR2613.pdf,9.58,Evidence showed that SEPTA’s traction power maintenance department likely  experienced a normalization of deviance regarding its OCS inspection and maintenance...
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Sentence-Window,2,0.6581,0.6831,590,RIR2613.pdf,9.58,"However, the FTA does require SSOAs to complete triennial audits of each  rail transit agency’s compliance with its Public Transportation Agency Safety Plan.5..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Sentence-Window,3,0.6341,0.6589,226,RIR2613.pdf,9.58,"PennDOT SSOA’s oversight failed to correct SEPTA’s unsafe practices and lack of  OCS procedures, even though PennDOT SSOA identified the inadequate inspection..."
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Sentence-Window,4,0.6115,0.6121,158,RIR2613.pdf,9.58,Inspection History and Pantograph Incident Trends  SEPTA’s traction power maintenance department had performed annual walking  inspections of the D Line OCS....
Q3,What problems did PennDOT's 2016 and 2019 audits identify regarding SEPTA's inspection and maintenance of the D Line overhead catenary system?,"In 2016, the audit found that SEPTA's traction power maintenance department lacked a compiled maintenance plan containing specific inspection and maintenance procedures and information about its power infrastructure. In 2019, the audit found that inspection and maintenance frequencies were inconsistent with SEPTA's documented plans, some inspections and maintenance activities had not been performed, and records of annual D Line inspections were missing.",RIR2613.pdf,Sentence-Window,5,0.6005,0.6413,142,RIR2613.pdf,9.58,"SEPTA’s new formal OCS inspection and  maintenance program was approved by PennDOT SSOA and the FTA and went into  effect on April 28, 2026...."
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Token,1,0.6845,0.6867,1180,RIR2613.pdf,9.82,"new OCS program and active, ongoing  field oversight of OCS related activities. SEPTA’s new formal OCS inspection and  maintenance program was approved by PennD..."
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Token,2,0.6348,0.6328,1162,RIR2613.pdf,9.82,of the  CAPs by SEPTA.7 CAPs should have addressed the underlying safety issues of missing  and inconsistent OCS inspection plans and maintenance procedures tha...
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Token,3,0.6175,0.6289,1167,RIR2613.pdf,9.82,"Plan that details the agency’s safety policies, objectives, and responsibilities  utilizing an active safety management system framework.   Railroad Investigati..."
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Token,4,0.6027,0.5588,1021,RIR2613.pdf,9.82,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Token,5,0.5954,0.5825,985,RIR2613.pdf,9.82,"power the vehicle’s motor. (d) An overhead catenary system uses an overhead wire to supply electricity  to vehicles, such as light rail trains and streetcars, a..."
Q4,What actions did SEPTA and federal and state safety agencies take after the Trolley 111 accident to improve overhead catenary system safety?,"After the accident, SEPTA inspected and repaired the D Line OCS, identified 46 conditions requiring repair, began installing roof-mounted cameras on D Line trolleys, and initiated six corrective action plans concerning OCS inspection and maintenance. The FTA issued Special Directive 25-1 requiring SEPTA to develop and implement a formal OCS inspection and maintenance program, while Special Directive 25-2 required PennDOT SSOA to strengthen its oversight. SEPTA's new formal OCS inspection and maintenance program went into effect on April 28, 2026.",RIR2613.pdf,Semantic,1,0.6172,0.5714,1108,RIR2613.pdf,7.98,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
